detection_id,timestamp,platform,region,sport,event,event_multiplier,confidence_score,estimated_views,hour_of_day,day_of_week,month,enforcement_outcome,response_time_minutes,watermark_survived
7aa59489-463a-4a45-957e-e6b593ea7be7,2023-04-25T21:00:00+00:00,Telegram,IN,Cricket,IPL,3.0,0.8741,4107,21,1,4,takedown_successful,30,True
2fd91b64-d7a0-41f4-a999-600dd436a6a3,2023-01-28T11:00:00+00:00,TikTok,GB,Cricket,,1.0,0.7797,14870,11,5,1,takedown_successful,104,True
c79d8b6c-92b9-4ccf-b0b9-2a7eb83c8bd9,2024-03-08T13:00:00+00:00,Telegram,NG,Cricket,IPL,3.0,0.825,1439,13,4,3,takedown_successful,59,True
8395f345-5bc5-4f33-8a0c-7c63fa4b1b26,2024-01-23T19:00:00+00:00,Twitter/X,GB,Tennis,Grand Slam,1.5,0.9317,7319,19,1,1,takedown_successful,30,True
43033702-34f8-4e17-b37f-10b6ab237d86,2023-03-23T22:00:00+00:00,YouTube,AE,Tennis,,1.0,0.9191,21123,22,3,3,appeal_filed,10,True
a3e3d2ec-942d-452c-9eef-a6dc8c045ebe,2023-06-25T21:00:00+00:00,Telegram,BD,F1,,1.0,0.9439,8814,21,6,6,appeal_filed,108,True
cec1ec0a-579b-433c-8a13-24296b7e3500,2023-02-27T21:00:00+00:00,Twitter/X,AE,Cricket,,1.0,0.9685,7704,21,0,2,takedown_pending,114,False
f9090e91-5d3f-4c6d-a71e-255dfe2379ec,2024-04-14T13:00:00+00:00,Telegram,GB,Cricket,IPL,3.0,0.8263,51039,13,6,4,takedown_successful,29,False
a7142e8d-7a2b-4e31-ba4f-3a85e2d79b97,2023-05-22T18:00:00+00:00,Discord,AR,Cricket,IPL,3.0,0.9448,5103,18,0,5,takedown_pending,60,True
8bd686cd-7f48-467d-8c40-3908a42678cc,2023-01-12T20:00:00+00:00,TikTok,GB,Cricket,,1.0,0.982,5137,20,3,1,takedown_successful,59,True
0330d7d9-9265-4b95-8567-7eda68ee31f3,2023-09-27T21:00:00+00:00,YouTube,IN,Football,Premier League,2.0,0.9319,572,21,2,9,takedown_successful,100,False
a4abeb3d-fb74-4737-a118-fe9c36892c6d,2023-01-01T15:00:00+00:00,Telegram,DE,Tennis,Grand Slam,1.5,0.8001,15418,15,6,1,takedown_successful,113,True
683c8aed-1c20-40a7-8112-58349568aaf9,2023-03-22T21:00:00+00:00,Twitter/X,ID,Football,Premier League,2.0,0.9627,3794,21,2,3,no_action,119,True
35f7e3b8-09da-45dd-9737-ce913086a10e,2023-07-25T14:00:00+00:00,Instagram,US,Football,FIFA World Cup,5.0,0.9635,3192,14,1,7,takedown_successful,44,True
6994586a-be6f-44e1-b3cb-7d0dd58c5a67,2023-08-24T12:00:00+00:00,Telegram,US,Cricket,,1.0,0.99,431,12,3,8,appeal_filed,28,True
82126c13-cb53-489c-9190-c4fae846eb10,2024-04-29T21:00:00+00:00,Twitter/X,IN,Cricket,IPL,3.0,0.7912,1977,21,0,4,takedown_pending,94,True
8b5a6ca8-2299-4f20-b18e-90e069002bf6,2023-04-11T17:00:00+00:00,YouTube,AR,Cricket,IPL,3.0,0.912,2055,17,1,4,takedown_successful,119,True
2ab5c5fb-a335-4d62-8420-b5b934123278,2023-04-11T20:00:00+00:00,YouTube,IN,Cricket,IPL,3.0,0.9612,9314,20,1,4,takedown_successful,62,True
622d71e6-88dc-46cb-9c8c-676adfd5c23b,2024-02-15T09:00:00+00:00,Telegram,BD,Boxing/MMA,,1.0,0.8944,36420,9,3,2,content_removed_voluntarily,85,True
2257115d-d9a8-44cd-97f9-318e74be0c97,2023-06-08T14:00:00+00:00,Instagram,GB,Football,FIFA World Cup,5.0,0.816,7349,14,3,6,takedown_pending,65,False
20a1d6fc-453a-432d-9358-d31df9a8585a,2023-06-11T23:00:00+00:00,Telegram,IN,Football,FIFA World Cup,5.0,0.8535,348,23,6,6,takedown_pending,54,True
2a72c31a-5ff6-45eb-80a4-2624d7449647,2024-06-19T23:00:00+00:00,Telegram,TR,Cricket,,1.0,0.8278,1003,23,2,6,takedown_successful,41,False
72301018-5018-4a46-b594-5db5a680fa9b,2023-03-16T18:00:00+00:00,Instagram,ID,Cricket,IPL,3.0,0.8944,23482,18,3,3,takedown_successful,107,True
d1383d17-ff96-4ab4-ae4b-11fd6f8eff31,2023-11-06T23:00:00+00:00,Twitter/X,SA,Football,Premier League,2.0,0.9411,46406,23,0,11,takedown_successful,113,True
d40f66ec-3b1b-4105-99dd-434efe30fb0f,2023-04-29T21:00:00+00:00,Telegram,PK,Cricket,IPL,3.0,0.8128,34482,21,5,4,takedown_successful,117,False
8775740f-12d6-4080-b3a0-08c6d786e18b,2023-04-05T17:00:00+00:00,Telegram,IN,Basketball,NBA Playoffs,2.0,0.9818,5638,17,2,4,appeal_filed,71,True
505c20d7-5ef1-4464-adaa-d7adfe33230b,2023-01-10T05:00:00+00:00,Facebook,DE,Football,Premier League,2.0,0.9336,747,5,1,1,takedown_successful,116,False
391341f8-bf34-4a83-a549-eb1f7e6606a3,2023-02-10T11:00:00+00:00,Telegram,IN,Basketball,,1.0,0.7888,27453,11,4,2,takedown_pending,20,False
003c4973-a791-407d-9d56-57c7a90a2296,2023-08-31T23:00:00+00:00,Twitter/X,AR,Cricket,,1.0,0.8739,69,23,3,8,takedown_successful,112,True
5acc9d09-0fc1-4fc4-bbf0-dee181b7d823,2024-04-26T11:00:00+00:00,Facebook,PK,Tennis,,1.0,0.8084,15359,11,4,4,appeal_filed,52,True
08f8a94c-7f1d-4b64-84ef-47fe517823f7,2023-03-13T15:00:00+00:00,YouTube,US,Tennis,,1.0,0.8708,17172,15,0,3,takedown_pending,34,True
17955d9d-ee09-4a68-86b0-3a126780e9bc,2024-03-20T21:00:00+00:00,YouTube,GB,Football,Premier League,2.0,0.8965,1175,21,2,3,takedown_successful,91,True
1d574731-c4e0-4da5-a90d-e978fd28111c,2024-06-16T20:00:00+00:00,Facebook,TR,Cricket,,1.0,0.7028,137446,20,6,6,appeal_filed,16,True
e5d2c510-b042-4a60-9d51-cff94fc91e56,2023-11-04T14:00:00+00:00,YouTube,AE,Cricket,,1.0,0.9616,328,14,5,11,no_action,87,True
ba5bd0aa-dd29-4c8e-a197-30191ed49416,2023-06-28T19:00:00+00:00,YouTube,BR,Cricket,,1.0,0.9148,5115,19,2,6,takedown_successful,87,True
